task_clock,context_switches,cpu_migrations,page_faults,time_elapsed,size,threads
10.374414,3.0,0.0,116,0.006029541,64,2
10.957496,6.0,0.0,117,0.004685588,64,3
11.526602,9.0,1.0,119,0.00425107,64,4
11.519477,13.0,2.0,121,0.004443114,64,5
11.856575,16.0,3.0,123,0.004330427,64,6
12.130322,18.0,4.0,126,0.004423423,64,7
12.206971,20.0,5.0,128,0.00443048,64,8
34.880048,0.0,0.0,221,0.035195546,128,1
38.399137,6.0,0.0,236,0.020606799,128,2
40.178009,13.0,0.0,238,0.015228557,128,3
41.616209,22.0,1.0,239,0.013129108,128,4
41.88744,30.0,4.0,242,0.012804968,128,5
42.17162,32.0,6.0,244,0.012743734,128,6
41.918671,34.0,6.0,245,0.012663958,128,7
42.178873,36.0,6.0,248,0.012724625,128,8
138.179893,0.0,0.0,702,0.138512953,256,1
148.670932,15.0,1.0,717,0.077738049,256,2
157.158928,51.0,0.0,719,0.057554904,256,3
163.270751,88.0,1.0,720,0.046948575,256,4
163.265432,91.0,8.0,723,0.046602928,256,5
163.370432,96.0,8.0,724,0.046554317,256,6
162.506273,107.0,11.0,726,0.046141081,256,7
162.712099,116.0,8.0,729,0.046319035,256,8
549.499585,1.0,0.0,2622,0.549862354,512,1
601.725754,71.0,1.0,2636,0.311708065,512,2
623.383149,198.0,1.0,2638,0.22363743,512,3
642.138608,341.0,2.0,2641,0.178950995,512,4
643.062081,393.0,28.0,2642,0.178491114,512,5
644.566168,408.0,32.0,2644,0.178506973,512,6
644.903911,439.0,28.0,2646,0.177859536,512,7
642.678537,466.0,12.0,2649,0.176852142,512,8
2198.004403,6.0,0.0,10303,2.202895944,1024,1
2240.900168,25.0,1.0,10316,1.16084892,1024,2
2306.297089,184.0,1.0,10318,0.824776215,1024,3
2337.861443,479.0,2.0,10320,0.64880922,1024,4
2331.733245,533.0,39.0,10322,0.642708993,1024,5
2334.010495,602.0,43.0,10324,0.644404273,1024,6
2334.35237,675.0,40.0,10326,0.644179821,1024,7
2340.587337,782.0,13.0,10328,0.646036345,1024,8
8756.091138,26.0,0.0,41022,8.780636516,2048,1
9639.142164,1469.0,2.0,41036,4.992322643,2048,2
9895.009586,4156.0,2.0,41038,3.52749326,2048,3
10191.348132,7197.0,3.0,41040,2.807277735,2048,4
10222.540187,7300.0,134.0,41043,2.81759694,2048,5
10173.055088,8352.0,186.0,41044,2.792297676,2048,6
10238.36942,8778.0,226.0,41047,2.802436366,2048,7
10257.690004,9955.0,35.0,41049,2.800959436,2048,8
34980.665547,109.0,1.0,163902,35.079803511,4096,1
35826.808464,414.0,2.0,163916,18.538033373,4096,2
36717.471867,3892.0,2.0,163918,13.053295854,4096,3
37226.17847,10546.0,2.0,163921,10.219946584,4096,4
37310.695181,11798.0,255.0,163922,10.254855351,4096,5
37369.476017,13675.0,363.0,163925,10.264349129,4096,6
37439.770025,15672.0,275.0,163927,10.287995812,4096,7
37406.998544,17707.0,71.0,163929,10.266990076,4096,8
139750.460247,357.0,7.0,655422,140.210199906,8192,1
154183.353064,23412.0,2.0,655436,79.787309975,8192,2
148023.483086,21835.0,3.0,655439,52.659429948,8192,3
161622.635739,118808.0,4.0,655441,44.425282279,8192,4
155985.528231,96874.0,1413.0,655443,42.783966668,8192,5
160754.807703,131302.0,2021.0,655445,43.935316722,8192,6
163495.024032,162136.0,1989.0,655446,44.499873022,8192,7
153496.315467,96925.0,286.0,655448,42.010077535,8192,8
0.985058,0.0,0.0,74,0.00118525,16,1
1.234142,0.0,0.0,78,0.001091076,16,2
1.505661,0.0,0.0,80,0.00110161,16,3
3.417612,0.0,0.0,81,0.001644114,16,4
1.459715,12.0,3.0,83,0.00120063,16,5
1.539267,16.0,5.0,86,0.001265044,16,6
1.584101,21.0,6.0,88,0.001274231,16,7
1.697782,25.0,7.0,90,0.00136634,16,8
2.329607,0.0,0.0,81,0.002535888,32,1
